Effective_Date,Symbol,Canonical_Symbol,Action,Press_Release_Date,Source_URL,Notes
2024-09-30,AETHER,AETHER,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,ALLCARGO,ALLCARGO,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,ANURAS,ANURAS,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,BORORENEW,BORORENEW,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,CSBBANK,CSBBANK,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,DCMSHRIRAM,DCMSHRIRAM,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,EPL,EPL,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,FDC,FDC,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GLS,GLS,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GMMPFAUDLR,GMMPFAUDLR,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,HAPPYFORGE,HAPPYFORGE,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,INDIGOPNTS,INDIGOPNTS,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,JAIBALAJI,JAIBALAJI,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,JKPAPER,JKPAPER,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,KRBL,KRBL,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,LXCHEM,LXCHEM,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,MEDPLUS,MEDPLUS,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,MHRIL,MHRIL,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,MTARTECH,MTARTECH,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,PRINCEPIPE,PRINCEPIPE,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,PRSMJOHNSN,PRSMJOHNSN,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,RBA,RBA,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,SAFARI,SAFARI,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,STLTECH,STLTECH,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,SUNTECK,SUNTECK,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,TMB,TMB,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,VAIBHAVGBL,VAIBHAVGBL,EXCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,IDEA,IDEA,EXCLUSION_REVOKED,2024-09-25,https://www.niftyindices.com/Press_Release/ind_prs25092024.pdf,Exclusion revoked by the correction release; Vodafone Idea remains a member.
2024-09-30,AADHARHFC,AADHARHFC,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,ABSLAMC,ABSLAMC,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,ANANTRAJ,ANANTRAJ,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,BASF,BASF,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,BHARTIHEXA,BHARTIHEXA,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,DBREALTY,DBREALTY,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GET&D,GVT&D,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GODIGIT,GODIGIT,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GODREJAGRO,GODREJAGRO,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,GRINFRA,GRINFRA,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,IFCI,IFCI,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
2024-09-30,INDGN,INDGN,INCLUDE,2024-08-23,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,Semi-annual Nifty 500 review; September correction recorded separately.
