Entry_ID,Symbol,Signal_Date,Regime_Context_Date,Active_PIT_Member_Count,SMA50_Denominator,SMA50_Breadth_Coverage,Pct_Above_SMA50,Nifty500_Close,Nifty500_SMA50,Nifty500_SMA200,DATA_SAFE,INDEX_TREND_OK,BREADTH_OK,M1_Regime,Exact_Date_Match,PIT_Denominator_Match
SAIL-2025-09-30,SAIL,2025-09-30,2025-09-30,501,498,0.9940119760479041,34.93975903614458,22734.099609375,22966.6850390625,22260.29751953125,True,True,False,MOMENTUM_DISABLED,True,True
SAIL-2026-01-12,SAIL,2026-01-12,2026-01-12,501,498,0.9940119760479041,30.32128514056225,23510.44921875,23752.851015625,23016.76228515625,True,True,False,MOMENTUM_DISABLED,True,True
SAIL-2026-01-22,SAIL,2026-01-22,2026-01-22,501,449,0.8962075848303394,20.71269487750557,23008.75,23691.5850390625,23083.075546875,True,False,False,MOMENTUM_DISABLED,True,True
SAIL-2026-02-18,SAIL,2026-02-18,2026-02-18,501,449,0.8962075848303394,51.67037861915368,23645.80078125,23518.3460546875,23254.83354492188,True,True,True,MOMENTUM_ENABLED,True,True
SAIL-2026-05-19,SAIL,2026-05-19,2026-05-19,504,464,0.9206349206349206,66.59482758620689,22521.75,22180.5222265625,23065.70634765625,True,False,True,MOMENTUM_DISABLED,True,True
SAILIFE-2026-02-17,SAILIFE,2026-02-17,2026-02-17,501,449,0.8962075848303394,47.21603563474388,23540.05078125,23520.25203125,23246.754794921875,True,True,False,MOMENTUM_DISABLED,True,True
SAILIFE-2026-02-26,SAILIFE,2026-02-26,2026-02-26,500,449,0.898,48.9977728285078,23448.5,23493.7610546875,23297.76103515625,True,True,False,MOMENTUM_DISABLED,True,True
SAILIFE-2026-05-14,SAILIFE,2026-05-14,2026-05-14,504,464,0.9206349206349206,70.47413793103449,22613.099609375,22219.2691796875,23078.009091796877,True,False,True,MOMENTUM_DISABLED,True,True
SAILIFE-2026-05-29,SAILIFE,2026-05-29,2026-05-29,504,464,0.9206349206349206,66.37931034482759,22657.0,22247.62515625,23054.38759765625,True,False,True,MOMENTUM_DISABLED,True,True
SAILIFE-2026-06-12,SAILIFE,2026-06-12,2026-06-12,504,464,0.9206349206349206,49.137931034482754,22599.80078125,22459.743046875,23040.1318359375,True,False,False,MOMENTUM_DISABLED,True,True
SAILIFE-2026-07-27,SAILIFE,2026-07-27,2026-07-27,500,500,1.0,57.2,23153.099609375,22912.0390234375,23061.64233398437,True,False,True,MOMENTUM_DISABLED,True,True
SAMMAANCAP-2023-11-28,SAMMAANCAP,2023-11-28,2023-11-28,501,491,0.9800399201596807,65.58044806517312,17741.80078125,17283.902890625,16152.749487304687,True,True,True,MOMENTUM_ENABLED,True,True
SAMMAANCAP-2025-10-31,SAMMAANCAP,2025-10-31,2025-10-31,503,498,0.9900596421471173,55.42168674698795,23710.400390625,23209.7971875,22343.188779296877,True,True,True,MOMENTUM_ENABLED,True,True
SAMMAANCAP-2025-11-17,SAMMAANCAP,2025-11-17,2025-11-17,502,498,0.9920318725099602,49.79919678714859,23954.55078125,23386.6911328125,22451.17802734375,True,True,False,MOMENTUM_DISABLED,True,True
SAPPHIRE-2024-10-09,SAPPHIRE,2024-10-09,2024-10-09,500,494,0.988,44.534412955465584,23599.599609375,23570.244921875,21463.152275390625,True,True,False,MOMENTUM_DISABLED,True,True
SARDAEN-2025-09-12,SARDAEN,2025-09-12,2025-09-12,501,497,0.9920159680638723,48.69215291750504,23190.25,23032.996015625,22240.013505859373,True,True,False,MOMENTUM_DISABLED,True,True
