Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
CLEAN,1464,0.001630474807955446,1.0643931686036616,0.0019125804743570015,1.0037204155529034
COALINDIA,1460,0.0014275940718598678,1.0562379159918718,-0.0022827395622937964,0.9955678568220515
COCHINSHIP,1459,0.001334350169089108,1.0526796938586418,0.0006529903879377996,1.0012690148656769
COFORGE,1463,0.0016291189825776453,1.0642894066351782,0.002594666234386595,1.005050467669955
COHANCE,1462,0.0013834064954443648,1.0545565968678503,-0.001967252083169711,0.9961753401555605
COLPAL,1460,0.0015164933231902652,1.0597489568687226,-0.0024193030473043816,0.9953006996849002
CONCOR,1463,0.0016492446806980908,1.0651412816805186,0.0020454069246520798,1.0039773584319378
CONCORDBIO,1463,0.0016209628624318604,1.0639741024467306,0.0018861758495463175,1.0036677285721944
COROMANDEL,1462,0.0015896534879597198,1.0626268739951266,0.0021333728835598335,1.0041477795361218
CPPLUS,1463,0.0016098103446452305,1.0634790667827367,0.0015983234128911887,1.003105083745811
CRAFTSMAN,1457,0.0015623014353251554,1.06147114825112,0.0006328009831355288,1.0012273933623903
CREDITACC,1464,0.001603174538773513,1.0632467935839955,0.0015669608796368365,1.0030460568524149
CRISIL,1462,0.0016235457175141816,1.0640444456286382,0.002792048792911244,1.005433021453508
CROMPTON,1464,0.0016015796629570088,1.0631798989416779,0.00166600949738557,1.0032392237805579
CUB,1459,0.0016012141357275576,1.0632953585457006,0.00024153653761004403,1.0004700401930786
CUMMINSIND,1458,0.0014983770303449314,1.0591127424121785,-0.004037864572503863,0.9921462579724567
CYIENT,1464,0.0015437021171956639,1.060875906854734,0.00010278339128135466,1.0001997366894215
DATAPATTNS,1460,0.0017466389660804034,1.069096399080912,0.0031398623252981415,1.0061055516015123
DCMSHRIRAM,1464,0.0016121672171215953,1.0636241354124487,0.0016909763085809718,1.0032879263800554
DEEPAKFERT,1462,0.001268718306157554,1.0500074060954017,-0.0034830651847671456,0.993236570065042
DELHIVERY,1462,0.0016359744722554911,1.064530424365623,0.0024443614782501664,1.0047532441202311
DIVISLAB,1463,0.0016245132061949545,1.0640960004883764,0.0026141162078767736,1.0050885193136223
DIXON,1457,0.0016144732706749152,1.063663214603404,0.0031691911107976996,1.006165437054203
DLF,1463,0.0016676672476710625,1.0659108894464693,0.002763250654111803,1.0053803795359024
DMART,1463,0.0016376804845063008,1.064649108812806,0.002763250654111803,1.0053803795359024
DOMS,1463,0.0016559627032903294,1.0654180308590344,0.002763250654111803,1.0053803795359024
ECLERX,1460,0.0016790264323361629,1.0663623779375382,0.002704279171818439,1.0052587578158352
EICHERMOT,1461,0.0016274416852119526,1.0641255448591596,0.002361546681439734,1.0045883101857556
EIDPARRY,1462,0.001598105053794032,1.0629793096011848,0.0014892548674155495,1.0028920049702905
EIHOTEL,1464,0.0016262270687659158,1.064214637958467,0.0016993195355136728,1.003304202513785
ELECON,1464,0.0016517984854546412,1.065290299432458,0.002078303078528391,1.0040440883986483
ELGIEQUIP,1462,0.0016537527276373875,1.0652774575183939,0.0025321619540036393,1.0049248195638598
EMAMILTD,1462,0.001580069897586143,1.062286517256889,0.0011061333693219888,1.0021479767846504
EMCURE,1464,0.001612400230474048,1.0636339164470157,0.002078303078528391,1.0040440883986483
ENDURANCE,1462,0.0016360852184890233,1.0645350746224453,0.002077230218074715,1.0040364481872954
ENGINERSIN,1463,0.0016640701683704334,1.065759373987265,0.002202995379253792,1.004284821260539
ERIS,1462,0.0016736309595002986,1.0661139731190614,0.0024867271594478874,1.004836025770475
ESCORTS,1461,0.0014439503537697436,1.056895602652335,-0.00018131367557981166,0.9996468860440292
ETERNAL,1455,0.0017015154446856984,1.0671201057214765,0.002468785489531133,1.0047914255598283
