Signal_ID,Symbol,Signal_Date,Cancellation_Reason
UPPER|CLEAN|2023-09-11,CLEAN,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|DEEPAKFERT|2023-09-11,DEEPAKFERT,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|DEVYANI|2023-09-11,DEVYANI,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-11,GNFC,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|HAL|2023-09-11,HAL,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|IRB|2023-09-11,IRB,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|MARICO|2023-09-11,MARICO,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|NOCIL|2023-09-11,NOCIL,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|RAIN|2023-09-11,RAIN,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|RCF|2023-09-11,RCF,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|RENUKA|2023-09-11,RENUKA,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|TORNTPOWER|2023-09-11,TORNTPOWER,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|VOLTAS|2023-09-11,VOLTAS,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|WIPRO|2023-09-11,WIPRO,2023-09-11,SAME_SYMBOL_LOCKOUT
UPPER|ABFRL|2023-09-12,ABFRL,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|AXISBANK|2023-09-12,AXISBANK,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|BERGEPAINT|2023-09-12,BERGEPAINT,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|GESHIP|2023-09-12,GESHIP,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|GRASIM|2023-09-12,GRASIM,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|HCLTECH|2023-09-12,HCLTECH,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|KNRCON|2023-09-12,KNRCON,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|KPRMILL|2023-09-12,KPRMILL,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|LODHA|2023-09-12,LODHA,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|LTM|2023-09-12,LTM,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|MARUTI|2023-09-12,MARUTI,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|PRINCEPIPE|2023-09-12,PRINCEPIPE,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|TORNTPOWER|2023-09-12,TORNTPOWER,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|TTML|2023-09-12,TTML,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|TVSMOTOR|2023-09-12,TVSMOTOR,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|ULTRACEMCO|2023-09-12,ULTRACEMCO,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|WIPRO|2023-09-12,WIPRO,2023-09-12,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-13,GNFC,2023-09-13,SAME_SYMBOL_LOCKOUT
UPPER|JBCHEPHARM|2023-09-13,JBCHEPHARM,2023-09-13,SAME_SYMBOL_LOCKOUT
UPPER|GNFC|2023-09-14,GNFC,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|GRASIM|2023-09-14,GRASIM,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|LODHA|2023-09-14,LODHA,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|LTM|2023-09-14,LTM,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|MARUTI|2023-09-14,MARUTI,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|NOCIL|2023-09-14,NOCIL,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|RENUKA|2023-09-14,RENUKA,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|TITAN|2023-09-14,TITAN,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|TORNTPOWER|2023-09-14,TORNTPOWER,2023-09-14,SAME_SYMBOL_LOCKOUT
UPPER|BIOCON|2023-09-15,BIOCON,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|DALBHARAT|2023-09-15,DALBHARAT,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|EIDPARRY|2023-09-15,EIDPARRY,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|INFY|2023-09-15,INFY,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|M&M|2023-09-15,M&M,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|PNCINFRA|2023-09-15,PNCINFRA,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|RBA|2023-09-15,RBA,2023-09-15,SAME_SYMBOL_LOCKOUT
UPPER|TORNTPOWER|2023-09-15,TORNTPOWER,2023-09-15,SAME_SYMBOL_LOCKOUT
