Symbol,Date,Base_ID,Seed_Date,Base_Age,Event,Original_Pivot,Active_Pivot,New_Pivot,Base_Low,Base_Depth_ATR,High,Low,Close
AMBUJACEM,2023-07-31 00:00:00,AMBUJACEM-2023-07-31,2023-07-31 00:00:00,0,SEEDED,463.3905636838579,463.3905636838579,,inf,-inf,463.3905636838579,449.55210792340466,457.6575012207031
AMBUJACEM,2023-08-02 00:00:00,AMBUJACEM-2023-07-31,2023-07-31 00:00:00,2,FAILED_PROBE,463.3905636838579,463.3905636838579,463.9342346392159,444.8075058543892,1.789264035554567,463.9342346392159,444.8075058543892,455.58172607421875
AMBUJACEM,2023-08-03 00:00:00,AMBUJACEM-2023-07-31,2023-07-31 00:00:00,3,TOO_SHORT_BREAKOUT,463.3905636838579,463.9342346392159,,444.8075058543892,1.841611227094542,475.59804925059643,453.160000520514,468.87652587890625
AMBUJACEM,2023-08-03 00:00:00,AMBUJACEM-2023-08-03,2023-08-03 00:00:00,0,SEEDED,475.59804925059643,475.59804925059643,,inf,-inf,475.59804925059643,453.160000520514,468.87652587890625
AMBUJACEM,2023-08-25 00:00:00,AMBUJACEM-2023-08-03,2023-08-03 00:00:00,15,DEPTH_INVALIDATED,475.59804925059643,475.59804925059643,,425.1371300765082,4.155685265210502,443.12710420600604,425.1371300765082,429.585205078125
AMBUJACEM,2023-12-04 00:00:00,AMBUJACEM-2023-12-04,2023-12-04 00:00:00,0,SEEDED,470.3097951666478,470.3097951666478,,inf,-inf,470.3097951666478,448.0200086764972,469.07421875
AMBUJACEM,2023-12-05 00:00:00,AMBUJACEM-2023-12-04,2023-12-04 00:00:00,1,TOO_SHORT_BREAKOUT,470.3097951666478,470.3097951666478,,469.07418013372256,0.1178085839520776,507.5747501731058,469.07418013372256,503.17608642578125
AMBUJACEM,2023-12-05 00:00:00,AMBUJACEM-2023-12-05,2023-12-05 00:00:00,0,SEEDED,507.5747501731058,507.5747501731058,,inf,-inf,507.5747501731058,469.07418013372256,503.17608642578125
AMBUJACEM,2023-12-06 00:00:00,AMBUJACEM-2023-12-05,2023-12-05 00:00:00,1,FAILED_PROBE,507.5747501731058,507.5747501731058,517.6076873513013,493.7363272755952,1.1080309807416078,517.6076873513013,493.7363272755952,495.31787109375
AMBUJACEM,2023-12-15 00:00:00,AMBUJACEM-2023-12-05,2023-12-05 00:00:00,8,FAILED_PROBE,507.5747501731058,517.6076873513013,523.2913594305566,476.78421872557277,3.2687010878080085,523.2913594305566,508.5632640931735,516.3721313476562
AMBUJACEM,2023-12-18 00:00:00,AMBUJACEM-2023-12-05,2023-12-05 00:00:00,9,FAILED_PROBE,507.5747501731058,523.2913594305566,526.355529042933,476.78421872557277,3.723787971250762,526.355529042933,518.2501360600402,519.5845947265625
AMBUJACEM,2023-12-21 00:00:00,AMBUJACEM-2023-12-05,2023-12-05 00:00:00,12,DEPTH_INVALIDATED,507.5747501731058,526.355529042933,,474.906146144875,4.119509182028305,500.0624629655887,474.906146144875,498.0855407714844
AMBUJACEM,2024-01-01 00:00:00,AMBUJACEM-2024-01-01,2024-01-01 00:00:00,0,SEEDED,533.4724181662175,533.4724181662175,,inf,-inf,533.4724181662175,513.8020199716287,528.1347045898438
AMBUJACEM,2024-01-03 00:00:00,AMBUJACEM-2024-01-01,2024-01-01 00:00:00,2,FAILED_PROBE,533.4724181662175,533.4724181662175,542.6651745063621,512.5171054782643,1.3995931299488633,542.6651745063621,522.0557835413417,529.9140014648438
AMBUJACEM,2024-01-04 00:00:00,AMBUJACEM-2024-01-01,2024-01-01 00:00:00,3,TOO_SHORT_BREAKOUT,533.4724181662175,542.6651745063621,,512.5171054782643,2.0135719719995797,548.1510514307148,530.5564571850247,543.1099243164062
AMBUJACEM,2024-01-04 00:00:00,AMBUJACEM-2024-01-04,2024-01-04 00:00:00,0,SEEDED,548.1510514307148,548.1510514307148,,inf,-inf,548.1510514307148,530.5564571850247,543.1099243164062
AMBUJACEM,2024-01-05 00:00:00,AMBUJACEM-2024-01-04,2024-01-04 00:00:00,1,FAILED_PROBE,548.1510514307148,548.1510514307148,551.4624764076623,532.1874847973943,1.0114014512063036,551.4624764076623,532.1874847973943,536.0918579101562
AMBUJACEM,2024-01-25 00:00:00,AMBUJACEM-2024-01-04,2024-01-04 00:00:00,14,BREAKOUT_CANDIDATE,548.1510514307148,551.4624764076623,,503.126718364018,3.0624018399784028,559.4689968878228,520.2764891395663,553.6865234375
AMBUJACEM,2024-01-25 00:00:00,AMBUJACEM-2024-01-25,2024-01-25 00:00:00,0,SEEDED,559.4689968878228,559.4689968878228,,inf,-inf,559.4689968878228,520.2764891395663,553.6865234375
AMBUJACEM,2024-01-29 00:00:00,AMBUJACEM-2024-01-25,2024-01-25 00:00:00,1,TOO_SHORT_BREAKOUT,559.4689968878228,559.4689968878228,,556.30592591802,0.17815267525555897,572.2201867106238,556.30592591802,567.4755249023438
